iter	Passed	Remaining
0	158	158176
1	166	82897
2	171	56830
3	176	43927
4	180	35873
5	182	30272
6	186	26459
7	188	23344
8	190	20966
9	192	19014
10	193	17411
11	195	16071
12	197	14965
13	199	14047
14	201	13260
15	203	12523
16	206	11941
17	208	11370
18	210	10857
19	211	10381
20	213	9951
21	218	9729
22	220	9374
23	222	9038
24	223	8731
25	225	8460
26	227	8198
27	229	7953
28	230	7724
29	234	7570
30	235	7376
31	237	7185
32	239	7003
33	240	6832
34	243	6721
35	246	6611
36	248	6464
37	250	6329
38	251	6205
39	253	6079
40	255	5964
41	257	5869
42	258	5760
43	262	5701
44	263	5601
45	265	5502
46	266	5409
47	268	5319
48	269	5239
49	271	5160
50	273	5081
51	274	5004
52	276	4936
53	277	4867
54	279	4797
55	280	4728
56	281	4663
57	283	4601
58	284	4543
59	286	4489
60	288	4434
61	289	4381
62	291	4331
63	292	4282
64	294	4229
65	295	4183
66	297	4137
67	297	4082
68	299	4038
69	300	3998
70	302	3954
71	303	3911
72	305	3875
73	306	3839
74	308	3800
75	309	3764
76	310	3727
77	312	3698
78	314	3665
79	315	3629
80	316	3594
81	318	3567
82	321	3547
83	324	3535
84	325	3503
85	327	3476
86	328	3443
87	329	3414
88	330	3385
89	332	3357
90	333	3328
91	334	3304
92	336	3277
93	337	3250
94	338	3223
95	339	3197
96	340	3171
97	341	3145
98	342	3119
99	343	3094
100	344	3070
101	345	3042
102	346	3018
103	347	2994
104	348	2972
105	349	2951
106	350	2929
107	351	2906
108	352	2884
109	353	2863
110	354	2841
111	355	2820
112	356	2799
113	357	2780
114	358	2760
115	359	2738
116	360	2719
117	361	2700
118	362	2680
119	363	2662
120	364	2644
121	365	2627
122	365	2607
123	366	2590
124	367	2574
125	368	2557
126	369	2541
127	370	2522
128	371	2506
129	372	2490
130	373	2475
131	374	2460
132	375	2446
133	376	2430
134	377	2416
135	378	2401
136	379	2388
137	380	2373
138	381	2360
139	381	2346
140	382	2332
141	383	2320
142	384	2306
143	385	2293
144	386	2281
145	387	2268
146	388	2255
147	389	2242
148	390	2230
149	391	2217
150	392	2205
151	393	2194
152	394	2183
153	395	2171
154	396	2159
155	397	2148
156	397	2136
157	398	2125
158	399	2114
159	400	2103
160	401	2092
161	402	2081
162	403	2070
163	404	2060
164	405	2049
165	405	2039
166	406	2029
167	407	2019
168	408	2009
169	409	1999
170	410	1989
